squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Juventus,76,43,2.0,1.131578947368421,38,26,5,7,68.42105263157895,13.157894736842104,18.421052631578945,33,83,2020
Inter,81,36,2.1315789473684212,0.9473684210526315,38,24,10,4,63.1578947368421,26.31578947368421,10.526315789473683,45,82,2020
Atalanta,98,48,2.5789473684210527,1.263157894736842,38,23,9,6,60.526315789473685,23.684210526315788,15.789473684210526,50,78,2020
Lazio,79,42,2.0789473684210527,1.105263157894737,38,24,6,8,63.1578947368421,15.789473684210526,21.052631578947366,37,78,2020
Roma,77,51,2.026315789473684,1.3421052631578947,38,21,7,10,55.26315789473685,18.421052631578945,26.31578947368421,26,70,2020
Milan,63,46,1.6578947368421053,1.2105263157894737,38,19,9,10,50.0,23.684210526315788,26.31578947368421,17,66,2020
Napoli,61,50,1.605263157894737,1.3157894736842106,38,18,8,12,47.368421052631575,21.052631578947366,31.57894736842105,11,62,2020
Sassuolo,69,63,1.8157894736842106,1.6578947368421053,38,14,9,15,36.84210526315789,23.684210526315788,39.473684210526315,6,51,2020
Verona,47,51,1.236842105263158,1.3421052631578947,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,-4,49,2020
Parma,56,57,1.4736842105263157,1.5,38,14,7,17,36.84210526315789,18.421052631578945,44.73684210526316,-1,49,2020
Fiorentina,51,48,1.3421052631578947,1.263157894736842,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,3,49,2020
Bologna,52,65,1.368421052631579,1.7105263157894737,38,12,11,15,31.57894736842105,28.947368421052634,39.473684210526315,-13,47,2020
Cagliari,52,56,1.368421052631579,1.4736842105263157,38,11,12,15,28.947368421052634,31.57894736842105,39.473684210526315,-4,45,2020
Udinese,37,51,0.9736842105263158,1.3421052631578947,38,12,9,17,31.57894736842105,23.684210526315788,44.73684210526316,-14,45,2020
Sampdoria,48,65,1.263157894736842,1.7105263157894737,38,12,6,20,31.57894736842105,15.789473684210526,52.63157894736842,-17,42,2020
Torino,46,68,1.2105263157894737,1.7894736842105263,38,11,7,20,28.947368421052634,18.421052631578945,52.63157894736842,-22,40,2020
Genoa,47,73,1.236842105263158,1.9210526315789473,38,10,9,19,26.31578947368421,23.684210526315788,50.0,-26,39,2020
Lecce,52,85,1.368421052631579,2.236842105263158,38,9,8,21,23.684210526315788,21.052631578947366,55.26315789473685,-33,35,2020
Brescia,35,79,0.9210526315789473,2.0789473684210527,38,6,7,25,15.789473684210526,18.421052631578945,65.78947368421053,-44,25,2020
Spal,27,77,0.7105263157894737,2.026315789473684,38,5,5,28,13.157894736842104,13.157894736842104,73.68421052631578,-50,20,2020
